2021-04-24 16:53:11,044 |Test worker          |UtilURL                       |W| No ofbiz.home property set in environment
2021-04-24 16:53:11,046 |Test worker          |UtilURL                       |W| No ofbiz.home property set in environment
2021-04-24 16:53:12,408 |Test worker          |UtilCodec                     |E| Canonicalization (format consistency, character escaping that is mixed or double, etc) error for attribute named [double-encoding], String [%2%353Cscript]: org.apache.ofbiz.base.util.UtilCodec$IntrusionException: Input validation failure
2021-04-24 16:53:12,878 |Test worker          |UtilXml                       |W| [UtilXml.LocalResolver.resolveEntity] could not find LOCAL DTD/Schema with publicId [null] and the file/resource is [entity-config.xsd]
2021-04-24 16:53:15,138 |delegator-startup-1  |DelegatorFactoryImpl          |I| Creating new delegator [default] (delegator-startup-1)
2021-04-24 16:53:15,144 |delegator-startup-1  |ModelReader                   |I| Finished loading entities; #Entities=0 #ViewEntities=0 #Fields=0 #Relationships=0 #AutoRelationships=0
2021-04-24 16:53:15,152 |delegator-startup-1  |GenericDelegator              |I| Doing entity definition check...
2021-04-24 16:53:15,157 |delegator-startup-1  |ModelEntityChecker            |I| [initReservedWords] array length = 1025
2021-04-24 16:53:15,162 |OFBiz-batch-1        |GenericDelegator              |I| Delegator "default" initializing helper "localmysql" for entity group "org.apache.ofbiz".
2021-04-24 16:53:15,180 |OFBiz-batch-1        |UtilXml                       |W| [UtilXml.LocalResolver.resolveEntity] could not find LOCAL DTD/Schema with publicId [null] and the file/resource is [entity-config.xsd]
2021-04-24 16:53:15,562 |OFBiz-batch-1        |UtilXml                       |W| [UtilXml.LocalResolver.resolveEntity] could not find LOCAL DTD/Schema with publicId [null] and the file/resource is [fieldtypemodel.xsd]
2021-04-24 16:53:16,108 |OFBiz-batch-1        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2021-04-24 16:53:17,175 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Name is MySQL
2021-04-24 16:53:17,175 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Version is 8.0.23-0ubuntu0.20.04.1
2021-04-24 16:53:17,175 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Name is MySQL Connector/J
2021-04-24 16:53:17,175 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Version is mysql-connector-java-8.0.23 (Revision: 18bbd5e68195d0da083cbd5bd0d05d76320df7cd)
2021-04-24 16:53:17,175 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2021-04-24 16:53:17,175 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2021-04-24 16:53:17,176 |OFBiz-batch-1        |DatabaseUtil                  |I| - supports transactions     [true]*
2021-04-24 16:53:17,176 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation None            [false]
2021-04-24 16:53:17,176 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2021-04-24 16:53:17,176 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2021-04-24 16:53:17,176 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2021-04-24 16:53:17,176 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation Serializable    [true]
2021-04-24 16:53:17,177 |OFBiz-batch-1        |DatabaseUtil                  |I| - forward only type         [true]
2021-04-24 16:53:17,177 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2021-04-24 16:53:17,177 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll insensitive type   [true]
